id,sbem_version,fuel_natural_gas,fuel_lpg,fuel_biogas,fuel_oil,fuel_coal,fuel_anthracite,fuel_smokeless,fuel_duel_fuel,fuel_biomass,fuel_grid_supplied_elec,fuel_displaced,fuel_waste_heat,fuel_dh
1,3.1.a,0.194,0.234,0.025,0.265,0.291,0.317,0.392,0.187,0.025,0.422,0.568,0.018,0.293
2,3.2.b,0.194,0.234,0.025,0.265,0.291,0.317,0.392,0.187,0.025,0.422,0.568,0.018,0.293
3,3.2.c,0.194,0.234,0.025,0.265,0.291,0.317,0.392,0.187,0.025,0.422,0.568,0.018,0.293
4,3.4.a,0.1979,0.234,0.025,0.265,0.295,0.317,0.392,0.187,0.025,0.517,0.568,0.018,0.293
5,3.5.a,0.1979,0.234,0.025,0.265,0.291,0.317,0.392,0.206,0.025,0.517,0.568,0.018,0.293
6,4.1.c.3,0.1979,0.24499,0.025,0.297,0.291,0.317,0.392,0.206,0.025,0.517,0.568,0.018,0.293
7,4.1.d,0.1979,0.24499,0.025,0.297,0.291,0.317,0.392,0.206,0.025,0.517,0.568,0.018,0.293
8,4.1.e,0.1979,0.24499,0.025,0.297,0.291,0.317,0.392,0.206,0.025,0.517,0.568,0.018,0.293
14,4.1.g,0.198,0.245,0.018,0.297,0.295,0.318,0.344,0.206,0.013,0.517,0,0.058,0.293
9,5.2.b,0.216,0.24499,0.025,0.297,0.291,0.317,0.392,0.206,0.025,0.51899,0.51899,0.018,0.293
10,5.2.d,0.216,0.24499,0.025,0.297,0.291,0.317,0.392,0.206,0.025,0.51899,0.51899,0.018,0.293
11,5.2.g,0.216,0.24499,0.025,0.297,0.291,0.317,0.392,0.206,0.025,0.51899,0.51899,0.018,0.293
13,5.4.a,0.216,0.241,0.098,0.319,0.295,0.394,0.433,0.226,0.031,0.519,0.51899,0.058,0.293
12,5.3.a,0.216,0.24499,0.025,0.297,0.291,0.317,0.392,0.206,0.025,0.51899,0.51899,0.018,0.293
