id,sbem_building_type_id,sbem_activity_id,activity_name,activity_type,activity_class,activity_description,br_light_check,light_lux,display_lighting,br_check_one,hepa_filter,hepa_enabled,valley_gutter,occupancy,hot_water_demand,fresh_air_rate,occ_24,occ_01,occ_02,occ_03,occ_04,occ_05,occ_06,occ_07,occ_08,occ_09,occ_10,occ_11,occ_12,occ_13,occ_14,occ_15,occ_16,occ_17,occ_18,occ_19,occ_20,occ_21,occ_22,occ_23,heat_set_point,work_plane,old_name,old_id,cool_set_point,metabolic_rate,equipment_gains
855,28,1015,Changing facilities with showers,C1_Changing,Toilets,"An area used for changing, containing showers. This activity should be assigned to the shower area and all associated changing areas. ",FALSE,100,FALSE,FALSE,FALSE,TRUE,FALSE,0.12,120,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,20,,,,24,130,25
856,28,1016,Circulation area (corridors and stairways),C1_Circulation,Indoor,For all circulation areas such as corridors and stairways.,FALSE,100,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,0,10,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3,20,,,,24,130,25
867,28,1026,Store Room,C1_Store,Indoor,Areas for un-chilled goods storage with low transient occupancy.,FALSE,50,FALSE,TRUE,FALSE,TRUE,FALSE,0.11,0,10,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,20,,,,24,130,25
834,29,1030,Eating/drinking area,A345_EatDrink,Indoor,Areas where food or drink are consumed. This could include open corridors or stairs providing access to the main eating/drinking spaces.,FALSE,150,TRUE,FALSE,FALSE,TRUE,FALSE,0.2,5.69,10,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.5,1,1,0.5,0.25,0.25,0.25,0.5,1,1,1,0.5,0,20,,,,24,130,25
835,29,1031,Food preparation area,A345_FoodPrep,Indoor,An area where food is prepared.,FALSE,500,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,0.33,25,0,0,0,0,0,0,0.25,0.75,1,1,1,1,1,1,0.75,0.25,0.25,0.75,1,1,1,1,0.75,0.25,20,,,,24,130,25
839,29,1032,Store Room,A345_Store,Indoor,Areas for un-chilled goods storage with low transient occupancy.,FALSE,50,FALSE,TRUE,FALSE,TRUE,FALSE,0.12,0,10,0,0,0,0,0,0,0,0,0,0.75,1,1,0.75,0.75,1,1,1,0.75,0,0,0,0,0,0,20,,,,24,130,25
821,27,1068,Food preparation area,A1A2_FoodPrep,Indoor,An area where food is prepared.,FALSE,500,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,0.33,25,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0.75,1,0.75,0,0,0,0,0,0,0,0,20,,,,24,130,25
820,27,1069,Eating/drinking area,A1A2_EatDrink,Indoor,An area specifically designed for eating and drinking.,FALSE,150,TRUE,FALSE,FALSE,TRUE,FALSE,0.33,6,10,0,0,0,0,0,0,0,0,0,0,0,0.25,1,1,0.75,0,0,0,0,0,0,0,0,0,20,,,,24,130,25
824,27,1070,Light plant room,A1A2_Plant,Indoor,Areas containing the main HVAC equipment for the building eg: boilers/air conditioning plant.,FALSE,200,FALSE,TRUE,FALSE,TRUE,FALSE,0.11,0,10,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,20,,,,24,130,25
830,27,1073,Small Shop Unit Sales area - electrical,A1A2_SalesElectric,Warehouse,Sales areas  in Small Shop Units designed to accommodate considerable electrical equipment loads such as lighting sales areas and IT/TV/Hi-fi sales areas.,FALSE,600,TRUE,FALSE,FALSE,TRUE,FALSE,0.12,0.08,10,0,0,0,0,0,0,0,0,0,0.75,1,1,0.75,0.75,1,1,1,0.75,0,0,0,0,0,0,20,,,,24,130,25
