areaOfVerticalExternalSurface,areaRatioOfAdiabaticInternalPartitions,areaRatioOfDiabaticInternalPartitions,areaRatioOfVerticalExternalSurface,ber,coolDesignLoad,coolElectricEquivalentEfficiency,cool_irr_east,cool_irr_horizontal,cool_irr_north,cool_irr_north_east,cool_irr_north_west,cool_irr_south,cool_irr_south_east,cool_irr_south_west,cool_irr_west,cooledAreaRatio,glazingConduction,heatDesignLoad,heatElectricEquivalentEfficiency,heatedAreaRatio,hotWaterDemand,internalConduction,internalGainsCool,internalGainsHeat,irrVerticalCool,irrVerticalHeat,irr_east,irr_horizontal,irr_north,irr_north_east,irr_north_west,irr_south,irr_south_east,irr_south_west,irr_west,lpd,opaqueConduction,q50,roofWallRatio,ser,solTrans,source,unconditionedAreaRatio,ventilatedAreaRatio,ventilationEnergyConsumption,wallToFloorRatio,weatherKey,windowToWallRatio
16.83,0.8376395602515292809171407794,0.1263635196988492963168926723,0.03599692004962142276596654832,117.037,0,0,0,0,0,0,0,0,0,0,0,0E+2,4.0088,15.78807428222357971899816738,0.8,0.8544398773406406994193253735,0.05249298623344424871142428394,0.6605888821014050091631032376,0,62.17743013133781307269395235,0,921.4524730307347852635864034,0,904.6871565235090576022796662,16.76531650722572766130673723,0,0,0,0,0,0,3.203027535088603790893867231,0.8247649769585253456221198157,31.25,0.8514431988701562362079618678,52.4255,0.680,data/inp_models\1000\1000.inp,0.1455601226593593005806746265,0E+2,107.0810499119201409277745156,0.1098062243100411039342337052,GLA,0.05347593582887700534759358289
4717.83,0.3422439291129172569781025526,0.006296655316116952087424088021,0.6514594155709657909344733593,39.9883,0.0,2.306776634552427275278271443,78.32812042406138347097756693,344.9051133368476541908276226,0E+2,0E+2,0E+2,209.0634334914777719205763486,0E+2,0E+2,89.77063199203420605634627776,0.01133981908899599484081189329,1.088697693306245663064159805,0.9866996135176080007316300627,1.775978905504768711633929859,0.1029175293598533704432828729,0.1455108902993686782974679248,0.04444592853682918922214549831,7.387258059924171424191426559,34.95839742811368067067412037,722.0672992444210156387278158,681.1643487827583288668227595,144.0174523023686610811776543,377.4762898812378346356737849,26.28595070852962471907999286,0,0,74.92160568704335806369714236,0,0,58.46305020357885036719418507,0.2786913639505537543688382057,0.9699048169709304280183562630,14.92602834905840820049050703,0.6545240454216928345939486073,30.1707,0.2335704228785747548886159296,data/inp_models\1000306\1000306.inp,0.8970824706401466295567171271,0E+2,29.00773970347396646527730636,0.5004147291426243975290204331,LEE,0.03496734727618417789534595354
15.3,0.8379888268156424581005586592,0.06703910614525139664804469274,0.09497206703910614525139664804,150.57,0,0,0,0,0,0,0,0,0,0,0,0E+2,4.0088,7.567916230366492146596858639,0.8,0.9728353140916808149405772496,0.1520916808149405772495755518,0.3166492146596858638743455497,0,62.34353184991273996509598604,0,926.6776859504132231404958678,0,776.6280991735537190082644628,0,0,0,150.0495867768595041322314050,0,0,0,5.382775119617224880382775119,0.8048406466512702078521939954,31.25,0.7938005390835579514824797844,69.3433,0.680,data/inp_models\1002\1002.inp,0.02716468590831918505942275042,0E+2,84.54120916808149405772495756,0.2597623089983022071307300509,GLA,0.1137254901960784313725490196
15.0,0.9043977055449330783938814532,0E+1,0.09560229445506692160611854685,123.953,0,0,0,0,0,0,0,0,0,0,0,0E+2,4.0088,0E+1,0.8,1,0.09969774590163934426229508197,0E+1,0,63.19295914446721311475409836,0,928.5350734094616639477977162,0,783.3474714518760195758564437,0,0,0,145.1876019575856443719412724,0,0,0,4.933750931445603576751117734,0.8006248864668483197093551317,31.25,0.7960848287112561174551386623,76.8422,0.680,data/inp_models\1003\1003.inp,0E+2,0E+2,88.43427433401639344262295082,0.2561475409836065573770491803,GLA,0.01533333333333333333333333333
14.0,0.6892655367231638418079096045,0.2448210922787193973634651601,0.06591337099811676082862523540,138.647,0,0,0,0,0,0,0,0,0,0,0,0E+2,4.0088,16.66575758464018760076212810,0.8,0.7536728156412239036783386723,0.05350712471004087042969181487,0.6973120328301333724168254434,0,62.98022314231276564561043529,0,950.4499550301940125915456765,0,862.6277784915842220223564178,0,0,0,87.82217653860979056918925866,0,0,0,5.768882629453710863188384453,0.7532006024921265233465699028,31.25,0.8660671577537549028986893715,56.7329,0.680,data/inp_models\1004\1004.inp,0.2463271843587760963216613277,0E+2,73.43427570970948856732574837,0.1546448691041643654037335690,GLA,0.02928571428571428571428571429
0,0.9073391420911528150134048257,0.09266085790884718498659517426,0E+2,83.6966,0.00000,2.279,0,0,0,0,0,0,0,0,0,0.7737038097966198796906330564,0,4.590324952437574316290130797,3.270403329369797859690844233,0.8030172825360450682707915592,0.06536236035519908335720423947,0.2283743757431629013079667063,7.816950884711334058936344027,5.624152214120232854824466441,0,0,0,0,0,0,0,0,0,0,0,1.376020022181580474333267229,0,4.980659207585104081687476406,0,60.7472,0,data/inp_models\1006\1006.inp,0.1969827174639549317292084408,0E+2,225.8428891435118877112575193,0E+2,PLY,0
359.94,0.7954521263186200637531442401,0.1037249091041506770270194565,0.1008229645772292592198363034,84.3164,0.0000,2.279,0E+2,796.7113902954938785975257996,39.58946221396064354849048138,0E+2,0E+2,0E+2,0E+2,0E+2,0E+2,0.8362969890168399352887772446,18.72060201333026890370029878,5.322741644313797538122358993,3.204682313675056647682038092,0.8917042669815764145340860222,0.08324102200045052117108200168,0.2227088554106191438544920081,7.796096081364549079456459518,6.925864313401723184128333346,836.3008525094545221460162810,832.0627547418994922239679395,0,775.8827788783386843363617733,38.96240635744700229979279094,0,0,17.21756950611380558781337523,0,0,0,2.007289182948070160777588233,0.6767451247578899396149025863,3.564646575226454192620250848,0.6909404703639782591896138688,73.1919,2.707590898643989887382210986,data/inp_models\1007\1007.inp,0.1082957330184235854659139778,0E+2,1729.346743489627773947589370,0.2456978641200843703284026294,GLA,0.1208812579874423515030282825
367.33,0.8079960513326752221125370188,0.02566633761105626850937808490,0.1663376110562685093780848963,184.269,0.0,2.279,102.6283969949850343911673175,782.0273147138694523181827192,0E+2,0E+2,0E+2,0E+2,0E+2,0E+2,0E+2,0.7448263050343674530930707784,19.770228,0.6039689392532045327884079510,2.709734646108118149730633476,1,0.06872041612483745123537061118,0.02527066691436002229240200632,7.816950884711334058936344027,17.82313879012845445569145167,884.6557117088544867093500367,886.6759493391340834557159105,57.17014674867219504654218610,584.8825679361328577896050264,0,0,0,43.70447092079546834800083919,0,0,200.9187637335335622715678588,10.90314063916144540331796509,0.5303971976480854335043942573,13.50945074587434834153320567,0.5943928535936309530382164902,77.1313,2.85940,data/inp_models\1008\1008.inp,0E+2,0E+2,573.9093635890767230169050715,0.6823890024150102173509195616,GLA,0.03566275556039528489369232026
641.27,0.8438430356010258390094586769,0.08542150401235419022143782919,0.07073546038661997076910349392,79.2029,0.0000,2.279,0E+2,672.9228402973596513714432197,33.47174270512251392701058515,0E+2,0E+2,110.5120013004795518347390600,0E+2,0E+2,0E+2,0.9264253661006935163954028163,19.67172523181509177430319511,6.119054678246324279694673601,3.361231791129804486583428619,0.9284510529351358194887954197,0.06185614793140799302263423692,0.2560273923952436937110742092,7.692343864086112785440457975,3.569721232228709175272739909,816.9065843029617171331928649,812.5522027648625328226552364,0,668.1106689924453576505496824,34.71982022806701718882881317,0,0,109.7217135443501579832767407,0,0,0,1.607007375938404115145291450,0.7679818969687972120009454215,4.464868611502233664054411343,0.6304025820581539436903835624,59.7986,2.853751407205982324949014276,data/inp_models\1009\1009.inp,0.07154894706486418051120458030,0E+2,1362.430225895030033620774544,0.1804183606003910700972048335,GLA,0.1146942785410201631138210114
46.8,0.8578199052132701421800947867,0E+2,0.1421800947867298578199052133,127.106,0.0,1.775,716,0E+1,0E+1,0E+1,0E+1,0E+1,0E+1,0E+1,0E+1,0.9161230195712954333643988816,13.34391,0,2.201668219944082013047530289,1,0.08456663560111835973904939422,0,12.88633207696885538583614362,11.83141688015111284319944740,716,715.7179487179487179487179487,514.0512820512820512820512820,0,0,0,0,0,0,0,201.6666666666666666666666667,1.517093111920698127594679319,1.796799544419134396355353075,12.45080177113623909539256587,0E+1,73.7973,1.9805,data/inp_models\101\101.inp,0E+2,0E+2,195.7016999068033550792171482,0.3634669151910531220876048462,LON,0.6297008547008547008547008547
660.85,0.6638726856408715563061429593,0.1078946368688072222164661839,0.2282326774903212214773908569,131.064,0.00000,1.566,55.18548233853429892532145345,478.5061757067753309545425755,19.58220551907607203935561514,0E+2,0E+2,96.35293372463737516626902855,0E+2,0E+2,151.9622912399974663767075565,0.7702052450374426611362545079,0E-25,6.273286334276565599770248248,1.450996547346573609409078046,0.8302360981988700795848104370,0.1889199350244679872909493988,0.2624805997605257573125626882,24.75857519453342860970096777,64.30546980820425133409250634,801.5890885290205434621962291,804.2273039150426527665413880,55.99135679832870792327622405,487.1983532857479339266147119,18.99603682577394545771078045,0,0,94.62806582760704154676443177,0,0,147.4134911775850239121752399,1.694185348267262389224323372,0.5836393865495075646511717752,17.70325103787476694005228531,0.4797153136981663871765196785,42.6573,0E-25,data/inp_models\1010\1010.inp,0.1697639018011299204151895630,0.7702052450374426611362545079,450.3453459947079676756944515,0.6751427724936914479531685788,GLA,0.1282893243549973518952863736
464.30,0.8066998776959102705605106942,0.02017271723891059869343435850,0.1731274050651791307460549473,187.459,0.000,1.204940827140163311973651652,13.88216183187904710099030558,812.4831856692573080677491226,0E+2,0E+2,0E+2,0E+2,0E+2,0E+2,128.0771678303440361845291763,0.7155224518452944229066821332,8.554499291347756637407430873,0.1575868473334246305909913886,1.382903155485548049808898694,0.9806038035349064379254556000,0.06871742116670228028938612290,0.006593591938637013832259053917,30.86615507393860475107604422,49.22247930339280456808475952,954.4425153314803913532686046,914.3854439180749016003205355,58.74814395814183695114190765,754.3617337198614155412571590,0,0,0,0,0,0,101.2755662400716491079214688,0.9167688875280682112392482066,0.7289585502626900717179742003,20.75777478385981429948121270,0.7369986235336101371368366197,72.3722,1.199671168024073362309760336,data/inp_models\1011\1011.inp,0.01939619646509356207454440001,0.6591471046124729082084312708,2392.238624713819103147226716,0.2834640862053176226380536646,GLA,0.07398233900495369373250053844
48.96,0.5828719918653259518698452152,0.3479832787255677324596090837,0.06914472940910631567054570105,82.6193,0.00000,2.315,0E+2,740.0552939389336168919945314,0E+2,0E+2,0E+2,176.5128360929667324927844448,0E+2,0E+2,0E+2,0.6400775694893341952165481577,22.50891,41.69277413855640188610808850,3.520625680087051142546245919,0.7128636069812540400775694893,0.07936393018745959922430510666,1.744467537178092129125861444,7.492725341724057281918478449,8.520344472480700232081833079,916.5681300319003493847789762,921.8807724601175482787573468,0,759.2745591939546599496221662,0,0,0,162.6062132661628883291351805,0,0,0,10.00828800828800828800828801,1.602228199052132701421800948,9.051683419655261565386374677,0.8257713248638838475499092559,56.3163,3.2555,data/inp_models\1012\1012.inp,0.2871363930187459599224305107,0E+2,123.0285572074983839689722043,0.2109890109890109890109890110,GLA,0.2001633986928104575163398693
70.04,0.8511599413377226907916313435,0.06215849953280570286442702178,0.08668155912947160634394163475,203.357,0.00000,2.286,0E+2,758.7477006311992786293958521,0E+2,0E+2,0E+2,162.9874361286444244063721070,0E+2,0E+2,0E+2,0.5945858248736846984656746860,9.832972,8.405640945045795170691090758,3.082016930335831251734665556,0.6680572938395216242525378946,0.07155518472164279423353265656,0.3517004579517069109075770192,7.696385318477118363532512285,9.693142358467941669594138745,921.7351367598437030357679591,927.1517014270032930845225027,0,778.3429198682766190998902305,0,0,0,148.8087815587266739846322722,0,0,0,21.51126408010012515644555695,1.401715359156656043147830351,10.05112096522154381191786604,0.7549077929803688280785246877,48.2891,2.55664,data/inp_models\1013\1013.inp,0.3319427061604783757474621054,0E+2,92.72778890279516061743846475,0.3246650906225374310480693459,GLA,0.1501998857795545402627070246
179.82,0.8795481502400451849759954815,0.01888731996611126800338887320,0.1015645297938435470206156453,77.863,0.00000,2.499,75.51727953380297274370228305,698.4138973923947921661195737,0E+2,0E+2,0E+2,0E+2,0E+2,0E+2,121.6566222845129642606867554,0.9712814818553474991167415333,19.934784,2.026143908794788273615635179,3.338703583061889250814332248,0.9916721344571745823449250492,0.06385050219552818856306465452,0.08477589576547231270358306189,6.366265970478129867176791410,4.605269313599939207735025738,895.5877992107107291705086121,896.8858523821637533161318458,74.40854744339862630373950650,702.6068248718973725333430243,0,0,0,0,0,0,119.8704800668677544790493150,5.872826967499657147867918576,1.409059375384289197498144811,7.861295114774752627373855326,0.6878558533537008748784890987,70.7382,2.88320,data/inp_models\1014\1014.inp,0.008327865542825417655074950790,0E+2,392.2482938474738807853429566,0.4537929642154141220410841367,GLA,0.1369146924702480258035813591
518.13,0.3600276450146499109324351948,0.1356163183459715178475825213,0.5043560366393785712199822838,102.903,0.0000,2.279,0E+2,554.3904358580369523666754113,0E+2,0E+2,0E+2,226.1795650164274381941061100,0E+2,0E+2,103.9423353196167347499656461,0.6723105680925419228997914014,9.367880509945750452079566004,5.743632089791969037252056120,2.904462389937106918238993711,0.6999566548370492780321296020,0.05769457914555847533389320835,0.2403193343009192065795839381,7.816950884711334058936344028,6.704177271719708553117126522,884.5123361940811253107471674,876.8666266697684669352172689,9.942086123933245993167876775,543.3668409388659654965533285,0,0,0,221.6821715866932768479179166,0,0,101.8755280202759785975781470,1.560928686534841547980550501,1.262822629187194888753908798,9.262554434792848146115495332,0.5353594232010904656001147859,76.087,2.126418006329113924050632911,data/inp_models\1017\1017.inp,0.3000433451629507219678703980,0E+2,1001.864607821092839920895078,0.7018259149892991628965405142,GLA,0.1280759654912859707023333912
384.73,0.7890242053666178179796856840,0.01655970488655313558037293446,0.1944160897468290464399413816,97.2074,0.0000,1.917,31.14681414586906553723733184,700.9709825335153488046483951,0E+2,0E+2,0E+2,0E+2,0E+2,0E+2,196.9449636552440290758047767,0.7432310060671918862627909083,17.631,0.7969110765144924218141856312,2.453601355373414533632492330,0.9888164448066648555646110658,0.2078076609616951915240423798,0.03334355968679884610101195110,11.21653725972324363408964586,18.18901239372987163636918663,929.0627603346284434176905037,886.1966968350813809883688780,80.80957033050082026137767045,649.8179941383568966470664135,0,0,0,0,0,0,155.5691323662236640799247940,1.607711331065492072464815380,1.367416177261723303147135300,14.02498588152693194132820490,0.6506456241032998565279770445,,2.55,data/inp_models\1018\1018.inp,0.01118355519333514443538893417,0E+2,674.2728852044281445259440369,0.4354908086570678257719822512,GLA,0.01962415200270319444805447977
622.29,0.4408798847552191708778268127,0.08481009763793931356184117257,0.4743100176068415155603320147,107.17,0.00,2.854,0E+2,412.4154182797508836896145430,0E+2,0E+2,0E+2,264.1386971890254165965325703,0E+2,0E+2,183.4502608988385793637434775,0.02959986686003661348993129027,1095.333302874999847870374601,262.0952054297874790886265965,170.0899016955931348215196419,0.8388055443284753096692898409,0.06942179215900715627303202492,10.96632658702039661458688688,4.557575368010898563169784378,3.230403321686091969397171720,860.0043763676148796498905908,881.6857791500181620050853614,75.57210316018888485288775880,630.5213221939702143116600073,0,0,0,27.56316745368688703232836905,0,0,148.0291863421721758082092263,0.4068516769415464168323111286,84.26018486206581544396044697,2.007423597784552107312726656,0.5747962091137060901531250214,82.9425,158.4198243055555335528021798,data/inp_models\1019\1019.inp,0.1611944556715246903307101591,0E+2,1774.788334706735455647749697,0.7397470340695656308694515109,GLA,0.01976570409294701827122402738
678.40,0.6592360438047446081939148000,0.03351479632967689924727579054,0.3072491598655784925588094095,87.7589,0.0,2.471,0E+2,702.1510749312606897746216631,59.57782155924570785251899804,0E+2,0E+2,0E+2,0E+2,0E+2,0E+2,0.2896399602787517685622138444,6.260585300423522227810946985,0.8321532172175366868114604651,2.288909457096572821423037698,0.9909309008462734966122696475,0.02953011169404093397660664540,0.03481812624341157685403600272,6.614874949680114902597696268,21.49244019480741501309783775,761.7288964905063976271406612,795.5706351474799782548996531,97.32053286704664548200705035,621.8472350656556315886813390,19.42084054900773968648945531,0,0,56.98202666576996149772180843,0,0,0,2.453423756249940637380989600,0.4860637291188745688431285935,5.116554011721085154655510265,0.6264995898322441406572594187,52.727,1.457794295555709673770123712,data/inp_models\1020\1020.inp,0.009069099153726503387730352482,0E+2,1480.274843294402994911813556,0.5961702389426414630073906128,GLA,0.01625884433962264150943396226
1995.42,0.4695677958214563218166903666,0.09854835323476766509316555093,0.4318838509437760130901440825,71.6877,0.000,2.343,0E+2,383.4705882352941176470588235,126.9411764705882352941176471,0E+2,0E+2,0E+2,0E+2,0E+2,0E+2,0.02596558956179587594424543885,5.496165195192405796717755072,2.264540050224108292639310704,1.851164382607133848472286697,0.9267284099556413444941442863,0.8278173499879359305109597431,0.09475062971648988672131007126,7.110516308412166573050947149,28.78182912202710978299099897,510.4117647058823529411764706,861.8453513889042047572312341,2.941959510445334690231749218,698.5244990004426723547176113,22.75059902549068103802728816,0,0,66.78508651015074490257269830,0,0,70.84320734237477177168188714,0.5222002960314732990543603216,0.9943087811677446758595149129,14.47692308131432200434554544,0.7097828410860999969457255429,76.1048,1.347865380261083218962396167,data/inp_models\1021\1021.inp,0.07327159004435865550585571373,0E+2,5920.553876219863026411032128,0.3703520852280109133428608549,GLA,0.02853534594220765553116637099
52.58,0.7956143597335307179866765359,0.08276276831976313841598815692,0.1216228719467061435973353072,107.058,0.000,2.506,0E+2,0E+2,0E+2,0E+2,644,0E+2,0E+2,0E+2,0E+2,0.8380071905495634309193631228,10.236978,1.267612339037371945287014251,3.446342585703657070909403079,0.8974319465844889573703133025,0.08816949152542372881355932203,0.05303817318147999771075373433,6.450518375932014865608416677,6.795998044555987985401812482,644,643.2377317339149400218102508,0,0,0,0,480.3664122137404580152671756,0,162.8713195201744820065430753,0,0,1.558341504412382686650791427,1.509284120902511707109408259,5.095920891044697281356271950,0E+2,65.1222,2.61648,data/inp_models\1022\1022.inp,0.1025680534155110426296866975,0E+2,219.6370505392912172573189522,0.2700564971751412429378531073,GLA,0.3042982122480030429821224800
49.18,0.8762358652536853945888342905,0.05097389142146705346042271032,0.07279024332484755195074299923,91.6112,0.0,2.279,0E+2,0E+2,0E+2,0E+2,644,0E+2,0E+2,0E+2,0E+2,0.6585309338070595504750135166,9.476388,0.8106189577349199835863766927,2.594063520722199425523184243,0.9411446667181586467907623388,0.08553912103189928168687726887,0.03391711120229790726302831350,7.794404828072944282996153994,20.49227794039360616223654707,644,642.3322488816592110614070760,0,0,0,0,285.9894265961773078487189915,0,356.3428222854819032126880846,0,0,1.392191907369168510745710097,1.117801720841300191204588910,8.750389116069786198406746565,0E+2,60.5078,2.42208,data/inp_models\1023\1023.inp,0.05885533328184135320923766123,0E+2,390.8749794740094230323627095,0.1899281686877268865374217966,GLA,0.3594957299715331435542903619
42.60,0.3714785241794488203168652331,0.5517384329770552080892557813,0.07678304284349597159387898560,79.0578,0.0000,2.279,0E+2,0E+2,0E+2,0E+2,427.3271028037383177570093458,0E+2,215.6635514018691588785046729,0E+2,0E+2,0.7859936908517350157728706625,7.659828,52.45461123583880813201593296,3.278581966789095235631886607,0.8130809674027339642481598318,0.09097371188222923238696109359,2.194753608194092390460917697,7.689143917743055995095063236,5.389497680935984878034956748,642.9906542056074766355140187,642.9906542056074766355140187,0,0,0,0,427.3271028037383177570093458,0,215.6635514018691588785046729,0,0,1.415973616289073702322913680,1.918213896455348032474158201,8.225122930392620061386309017,0E+2,54.6217,2.42208,data/inp_models\1024\1024.inp,0.1869190325972660357518401682,0E+2,154.1532988012618296529968454,0.1791798107255520504731861199,GLA,0.3990610328638497652582159624
33.00,0.6632640358521100460600024897,0.2545748786256691149010332379,0.08216108552222083903896427238,70.5813,0.0000,2.428,0E+2,724.8666507062485037107972229,0E+2,0E+2,84.79770169978453435480009575,0E+2,84.40268135025137658606655493,0E+2,0E+2,0.8439660056657223796033994334,9.451035,19.74109937583169634370445472,3.211715353906596540143210189,0.8941076487252124645892351275,0.03491331444759206798866855524,0.8259874215829161650085545910,6.613667857801772174022752484,6.662904864585472878532332888,894.0670337562844146516638736,899.9995527728085867620751342,0,741.9606440071556350626118068,0,0,79.20393559928443649373881931,0,78.83497316636851520572450804,0,0,1.496909605974761782127221220,1.440049088947494605610165428,5.271710019150913523789808926,0.7841020608439646712463199215,45.8103,2.41560,data/inp_models\1025\1025.inp,0.1058923512747875354107648725,0E+2,179.0162926912181303116147309,0.1869688385269121813031161473,GLA,0.4015151515151515151515151515
14.28,0.9492429089358072083599914694,0E+2,0.05075709106419279164000853060,102.8,0.0,2.279,0E+2,0E+2,0E+2,0E+2,644,0E+2,0E+2,0E+2,0E+2,0.9472907442546911237613324900,9.476388,0.0,3.228853468269028041324056504,1,0.1278663293274298966898587392,0.0,7.620357028401791863237384476,6.442717742626990053179226568,644,644,0,0,0,0,644,0,0,0,0,1.610986525597531290130910624,1.460941286421110500274876306,5.212246572519537522346593503,0E+2,62.8057,2.42208,data/inp_models\1026\1026.inp,0E+2,0E+2,153.3474376976597090449082859,0.1505376344086021505376344086,GLA,0.6827731092436974789915966387
23.76,0.9347718662493823093394827870,0E+2,0.06522813375061769066051721298,225.247,0.0,2.279,0E+2,0E+2,0E+2,0E+2,644,0E+2,0E+2,0E+2,0E+2,0.9455009276437847866419294991,9.832972,0.0,3.224264378478664192949907236,1,0.08017316017316017316017316017,0.0,7.682419864544697794033906058,6.569660405037018711680651459,644,644,0,0,0,0,644,0,0,0,0,4.216211277899589587901276213,1.893089545454545454545454545,8.729708136903015448964149490,0E+2,62.0888,2.55664,data/inp_models\1027\1027.inp,0E+2,0E+2,114.2928685064935064935064935,0.1836734693877551020408163265,GLA,0.8101851851851851851851851852
42.0,0.7824123969590166321983047392,0.09524919169263930558387463226,0.1223384113483440622178206286,91.3721,0.000,2.279,0E+1,0E+1,0E+1,0E+1,644,0E+1,0E+1,0E+1,0E+1,0.8366294728741823778376298576,9.476388,3.929364312076216633765342031,3.192567848253368809544245129,0.8965756060023085802231627549,0.08526664101577529819161215852,0.1644085486224358424169599176,7.738583598169178054001162069,7.284127928859175105497823172,644,644,0,0,0,0,644,0,0,0,0,1.704414285214593025289446990,1.448436739146243909533852083,5.414492522369005594841083183,0E+1,62.8701,2.42208,data/inp_models\1028\1028.inp,0.1034243939976914197768372451,0E+2,124.8442166987302808772604848,0.3232012312427856868026163909,GLA,0.3845238095238095238095238095
323.80,0.6289207990006761480191155067,0E+2,0.3710792009993238519808844933,95.2382,0.0,2.279,0E+2,579.9697374987523704960574907,0E+2,0E+2,119.6853977442858568719433077,0E+2,0E+2,180.2518814252919453039225471,0E+2,0.8774703557312252964426877470,9.476388,0.0,3.049833992094861660079051383,1,0.07019762845849802371541501976,0.0,7.816950884711334058936344029,10.42328308200239951367954548,879.9070166683301726719233456,840.8305172358091299712467289,0,469.3177397990501728426969922,0,0,96.85070913966336057894226731,0,96.39954123994443188059315737,178.2625270571511646690143120,0,3.726021395565809961482938393,1.461018388572026581549892732,6.210051322301231829226452605,0.4769489225600103382547733661,85.1434,2.42208,data/inp_models\1029\1029.inp,0E+2,0E+2,472.8987728312877054295818598,0.9622871407768432940057654016,GLA,0.08956145768993205682520074120
85.61,0.6748699251832440849189168661,0E+2,0.3251300748167559150810831339,137.136,0,0,0,0,0,0,0,0,0,0,0,0E+2,4.263854101221640488656195462,0E+1,0.8,1,0.1670963205999531286618232951,0E+1,0,61.57333899695336301851417858,0,758.5200935946183094472067856,0,460.2718923661889441357121966,0,125.1243053524422345715121380,0,0,0,173.1238958759871307399824510,0,1.006627086425539671379840117,1.679494589061128985083357707,31.25,0.4992102954080140391927464171,43.5137,0.680,data/inp_models\103\103.inp,0E+2,0E+2,100.4730303726271385048043122,1.003163815326927583782516991,LON,0.2677257329751197290036210723
104.1,0.7235500318674314850223072020,0E+2,0.2764499681325685149776927980,78.5352,0.0,2.925,0E+1,0E+1,0E+1,0E+1,137.3866666666666666666666666,0E+1,91.87666666666666666666666665,515.9533333333333333333333333,0E+1,0.9610445205479452054794520548,11.628576,0.0,3.998356164383561643835616438,1,0.05004566210045662100456621005,0.0,4.639335264123492475195214426,4.551556486029581445837548729,745.2166666666666666666666667,743.1642651296829971181556196,0,0,0,0,118.7780979827089337175792507,0,118.2247838616714697406340058,506.1613832853025936599423631,0,0.7070653019925280199252801993,2.271012724146401375583394743,7.037638048210682807688223425,0E+1,68.1175,2.97216,data/inp_models\1030\1030.inp,0E+2,0E+2,245.5477996575342465753424658,0.7427226027397260273972602740,GLA,0.2561959654178674351585014409
28.70,0.8873626373626373626373626374,0E+2,0.1126373626373626373626373626,100.437,0.0,2.506,0E+2,801.9657083924197499033131365,0E+2,0E+2,119.1362640195952043315714838,0E+2,0E+2,0E+2,0E+2,0.7008869179600886917960088692,23.057730,0.0,2.786313525498891352549889135,1,0.06255875831485587583148558758,0.0,6.437557424166108825992340837,19.90550148097055063992059287,921.1019724120149542348846203,901.5689655172413793103448276,0,746.4827586206896551724137931,0,0,77.72413793103448275862068968,0,77.36206896551724137931034485,0,0,3.175813008130081300813008130,1.218677604017216642754662841,8.501409300191465916260203278,0.7586206896551724137931034483,66.2965,3.08890,data/inp_models\1031\1031.inp,0E+2,0E+2,88.37201374722838137472283814,0.3181818181818181818181818182,GLA,0.3010452961672473867595818815
