areaOfVerticalExternalSurface,areaRatioOfAdiabaticInternalPartitions,areaRatioOfDiabaticInternalPartitions,areaRatioOfVerticalExternalSurface,ber,coolElectricEquivalentEfficiency,cool_irr_east,cool_irr_horizontal,cool_irr_north,cool_irr_north_east,cool_irr_north_west,cool_irr_south,cool_irr_south_east,cool_irr_south_west,cool_irr_west,cooledAreaRatio,glazingConduction,heatElectricEquivalentEfficiency,heatedAreaRatio,hotWaterDemand,internalConduction,internalGainsCool,internalGainsHeat,irrVerticalCool,irrVerticalHeat,irr_east,irr_horizontal,irr_north,irr_north_east,irr_north_west,irr_south,irr_south_east,irr_south_west,irr_west,lpd,opaqueConduction,q50,roofWallRatio,ser,solTrans,unconditionedAreaRatio,ventilatedAreaRatio,ventilationEnergyConsumption,wallToFloorRatio,windowToWallRatio
19.68,0,0,1,14.0943,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167953668,0,0,0.396874042,1.42598,0.00E+00,1,0.00E+00,0.00E+00,1.51969112,0.049288618
0,0,0,0,10.8641,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73708577,0,0,1,1.59608,0,1,0.00E+00,0.00E+00,0.00E+00,0
0,0,0,0,12.7332,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.761343595,0,0,1,1.59608,0,1,0.00E+00,0.00E+00,0.00E+00,0
0,0,0,0,4.06388,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218550529,0,0,0,1.88344,0,1,0.00E+00,0.00E+00,0.00E+00,0
123.96,0,0,1,5.222,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140492985,0,0,0.508738557,2.3861,0.00E+00,1,0.00E+00,0.00E+00,0.320285249,0.013149403
0,0,0,0,6.16501,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156563173,0,0,0,2.71721,0,1,0.00E+00,0.00E+00,0.00E+00,0
109.56,0,0,1,5.62012,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22928307,0,0,0.374407583,2.71721,0.00E+00,1,0.00E+00,0.00E+00,0.835443038,0.132621395
0.01,0,0,1,12.1455,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55110371,0,0,0.00E+00,2.71721,0,1,0.00E+00,0.00E+00,0.000431034,0.00E+00
0,0,0,0,5.15311,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447264794,0,0,0,2.71721,0,1,0.00E+00,0.00E+00,0.00E+00,0
0.01,0,0,1,12.1455,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55110371,0,0,0.00E+00,2.71721,0,1,0.00E+00,0.00E+00,0.000431034,0.00E+00
