areaOfVerticalExternalSurface,areaRatioOfAdiabaticInternalPartitions,areaRatioOfDiabaticInternalPartitions,areaRatioOfVerticalExternalSurface,coolElectricEquivalentEfficiency,cooledAreaRatio,glazingConduction,heatElectricEquivalentEfficiency,heatedAreaRatio,hotWaterDemand,internalConduction,internalGainsCool,internalGainsHeat,irrVerticalCool,irrVerticalHeat,lpd,opaqueConduction,q50,roofWallRatio,solTrans,unconditionedAreaRatio,ventilatedAreaRatio,ventilationEnergyConsumption,wallToFloorRatio,windowToWallRatio,irr_north,irr_north_east,irr_east,irr_south_east,irr_south,irr_south_west,irr_west,irr_north_west,irr_horizontal,cool_irr_north,cool_irr_north_east,cool_irr_east,cool_irr_south_east,cool_irr_south,cool_irr_south_west,cool_irr_west,cool_irr_north_west,cool_irr_horizontal,BER,SER
16.83,0.83763956,0.12636352,0.03599692,0,0.00E+00,4.0088,0.8,0.854439877,0.052492986,0.660588882,0,62.17743013,0,921.452473,3.203027535,0.824764977,31.25,0.851443199,0.68,0.145560123,0.00E+00,107.0810499,0.109806224,0.053475936,16.76531651,0,0,0,0,0,0,0,904.6871565,0,0,0,0,0,0,0,0,0,117.037,52.4255
4717.83,0.342243929,0.006296655,0.651459416,2.306776635,0.011339819,1.088697693,1.775978906,0.102917529,0.14551089,0.044445929,7.38725806,34.95839743,722.0672992,681.1643488,0.278691364,0.969904817,14.92602835,0.654524045,0.233570423,0.897082471,0.00E+00,29.0077397,0.500414729,0.034967347,26.28595071,0,144.0174523,0,74.92160569,0,58.4630502,0,377.4762899,0.00E+00,0.00E+00,78.32812042,0.00E+00,209.0634335,0.00E+00,89.77063199,0.00E+00,344.9051133,39.9883,30.1707
15.3,0.837988827,0.067039106,0.094972067,0,0.00E+00,4.0088,0.8,0.972835314,0.152091681,0.316649215,0,62.34353185,0,926.677686,5.38277512,0.804840647,31.25,0.793800539,0.68,0.027164686,0.00E+00,84.54120917,0.259762309,0.11372549,0,0,0,0,150.0495868,0,0,0,776.6280992,0,0,0,0,0,0,0,0,0,150.57,69.3433
15,0.904397706,0.00E+00,0.095602294,0,0.00E+00,4.0088,0.8,1,0.099697746,0.00E+00,0,63.19295914,0,928.5350734,4.933750931,0.800624886,31.25,0.796084829,0.68,0.00E+00,0.00E+00,88.43427433,0.256147541,0.015333333,0,0,0,0,145.187602,0,0,0,783.3474715,0,0,0,0,0,0,0,0,0,123.953,76.8422
14,0.689265537,0.244821092,0.065913371,0,0.00E+00,4.0088,0.8,0.753672816,0.053507125,0.697312033,0,62.98022314,0,950.449955,5.768882629,0.753200602,31.25,0.866067158,0.68,0.246327184,0.00E+00,73.43427571,0.154644869,0.029285714,0,0,0,0,87.82217654,0,0,0,862.6277785,0,0,0,0,0,0,0,0,0,138.647,56.7329
0,0.907339142,0.092660858,0.00E+00,2.279,0.77370381,0,3.270403329,0.803017283,0.06536236,0.228374376,7.816950885,5.624152214,0,0,1.376020022,0,4.980659208,0,0,0.196982717,0.00E+00,225.8428891,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.6966,60.7472
359.94,0.795452126,0.103724909,0.100822965,2.279,0.836296989,18.72060201,3.204682314,0.891704267,0.083241022,0.222708855,7.796096081,6.925864313,836.3008525,832.0627547,2.007289183,0.676745125,3.564646575,0.69094047,2.707590899,0.108295733,0.00E+00,1729.346743,0.245697864,0.120881258,38.96240636,0,0,0,17.21756951,0,0,0,775.8827789,39.58946221,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,796.7113903,84.3164,73.1919
367.33,0.807996051,0.025666338,0.166337611,2.279,0.744826305,19.770228,2.709734646,1,0.068720416,0.025270667,7.816950885,17.82313879,884.6557117,886.6759493,10.90314064,0.530397198,13.50945075,0.594392854,2.8594,0.00E+00,0.00E+00,573.9093636,0.682389002,0.035662756,0,0,57.17014675,0,43.70447092,0,200.9187637,0,584.8825679,0.00E+00,0.00E+00,102.628397,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,782.0273147,184.269,77.1313
641.27,0.843843036,0.085421504,0.07073546,2.279,0.926425366,19.67172523,3.361231791,0.928451053,0.061856148,0.256027392,7.692343864,3.569721232,816.9065843,812.5522028,1.607007376,0.767981897,4.464868612,0.630402582,2.853751407,0.071548947,0.00E+00,1362.430226,0.180418361,0.114694279,34.71982023,0,0,0,109.7217135,0,0,0,668.110669,33.47174271,0.00E+00,0.00E+00,0.00E+00,110.5120013,0.00E+00,0.00E+00,0.00E+00,672.9228403,79.2029,59.7986
46.8,0.857819905,0.00E+00,0.142180095,1.775,0.91612302,13.34391,2.20166822,1,0.084566636,0,12.88633208,11.83141688,716,715.7179487,1.517093112,1.796799544,12.45080177,0.00E+00,1.9805,0.00E+00,0.00E+00,195.7016999,0.363466915,0.629700855,0,0,514.0512821,0,0,0,201.6666667,0,0,0.00E+00,0.00E+00,716,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,127.106,73.7973
